SN,Kalfi_Num,BZB,Voters,Kosher_Voters,Error_Voters,1,Yeshuv_Type,vote_percent,Yeshuv,location,address
7400,6,816,520,518,2,12,130,63.725490196078425,Netanya,בית ספר יסודי קשת,בנאי יוסי 9 
155,1,805,664,664,0,55,310,82.48447204968944,Be'er Toviyya,אולם ספורט - חדר ישיבות,שדה בוקר
5000,952,805,475,473,2,27,130,59.006211180124225,Tel Aviv - Yafo,,
5000,289,803,526,525,1,44,130,65.50435865504357,Tel Aviv - Yafo,בית ספר חסן עראפה,קדם 40 
7100,73,802,493,485,8,19,140,61.471321695760594,Ashqelon,מועדון,שקף
532,5,802,534,528,6,0,270,66.58354114713218,Ein Mahel,בית ספר מעוז המכבים,"דרך ד""ר פלד ישראל"
9400,5,801,573,572,1,27,160,71.53558052434457,Yehud,בית ספר על שם לאה גולדברג,ספיר 20 
9000,302,800,625,620,5,25,130,78.125,Be'er Sheva,בית תרבות,כפר ראש הנקרה 1 
182,7,799,627,625,2,44,170,78.47309136420526,Even Yehuda,משרד לקשרי חוץ,נווה שלום
2600,81,799,442,440,2,29,150,55.319148936170215,Elat,מועדון הצריף,רמות מנשה
485,4,799,499,491,8,2,280,62.45306633291614,Julis,בית ספר יסודי על שם פארוק שחידם,עספיא
6700,10,799,538,535,3,10,160,67.33416770963704,Tiberias,מרכז רב שירותים לגיל הזהב,רמה 5 
8600,191,799,568,567,1,39,140,71.08886107634544,Ramat Gan,בית אבא חושי,סילבר אבא הלל 71 
1309,3,798,667,664,3,0,160,83.58395989974937,El'ad,מועדון תרבות,הברוש
9700,69,798,669,669,0,50,150,83.83458646616542,Hod HaSharon,בית ספר על שם עבד קדור,דאלית אל-כרמל
2034,10,798,567,563,4,20,180,71.05263157894737,Hazor HaGelilit,בית ספר רוגוזין א,רמז 9 
5000,333,798,303,301,2,23,130,37.96992481203007,Tel Aviv - Yafo,"בית ספר ממ""ד על שם מנחם בגין",הרימון 1 
5000,491,798,415,414,1,35,130,52.00501253132832,Tel Aviv - Yafo,,
4000,74,797,254,254,0,17,130,31.869510664993726,Haifa,בית ספר ארליך,שד הרצל
3000,209,797,632,627,5,1,120,79.297365119197,Jerusalem,"בית ספר תיכון דתי אמי""ת",בר יהודה
536,3,797,533,528,5,49,280,66.87578419071518,Peqi'in (Buqei'a),בית ספר בית יעקוב מרכז בית שרה,הרב מימון 31 
1054,6,797,507,506,1,1,260,63.61355081555834,Tel Sheva,,
1309,1,796,662,661,1,0,160,83.16582914572864,El'ad,מועדון חברים,חניתה
681,2,796,563,561,2,11,160,70.7286432160804,Giv'at Shemu'el,בית ספר אורט חטיבת בניים,דפנה 54 
