SN,Kalfi_Num,BZB,Voters,Kosher_Voters,Error_Voters,1,Yeshuv_Type,vote_percent,Yeshuv,location,address
3000,994,301,18,18,0,0,120,5.980066445182724,Jerusalem,בית ספר ממלכתי לפיד,השחר 34 
3000,742,389,38,38,0,2,120,9.768637532133676,Jerusalem,בית ספר אלאמל,הגלעדי 5 
3000,832,781,85,84,1,0,120,10.88348271446863,Jerusalem,בית ספר אחדות,שד גושן משה 50 
3000,519,688,82,78,4,2,120,11.918604651162791,Jerusalem,"בית ספר ממ""ד ניצן",בן יוסף שלמה 11 
3000,519,688,88,86,2,1,120,12.790697674418606,Jerusalem,בית ספר ממלכתי אוסישקין,אוסישקין 65 
3000,518,700,93,92,1,3,120,13.285714285714286,Jerusalem,בית ספר תיכון על שם אילן ואסף רמון,שד בגין מנחם 51 
3000,518,700,93,93,0,0,120,13.285714285714286,Jerusalem,בית ספר תיכון עירוני יד,אבן ספיר 8 
3000,519,688,95,93,2,2,120,13.80813953488372,Jerusalem,בית ויצו,דרך בן גוריון דוד 216 
3000,17,784,125,122,3,0,120,15.943877551020408,Jerusalem,בית ספר גורדון,הכנסת 4 
3000,545,481,77,77,0,1,120,16.008316008316008,Jerusalem,בית ספר אלומות (נירים),סנהדרין 81 
3000,545,481,79,78,1,2,120,16.424116424116423,Jerusalem,בית ספר מדעי תורני,המגינים 17 
3000,518,700,117,115,2,0,120,16.714285714285715,Jerusalem,מרכז קהילתי-יד אליעזר,שבטי ישראל 14 
3000,649,646,112,109,3,3,120,17.3374613003096,Jerusalem,בית ספר תיכון בן גוריון,האגס 4 
3000,519,688,120,117,3,1,120,17.441860465116278,Jerusalem,"מתנ""ס נווה ישראל",הר מירון 4 
3000,519,686,120,119,1,0,120,17.49271137026239,Jerusalem,בית ספר שיזף,שיזף 3 
3000,518,700,130,129,1,0,120,18.571428571428573,Jerusalem,בית ספר מעין,חרוב
3000,518,700,142,142,0,0,120,20.285714285714285,Jerusalem,בית ספר המר,אחים קיבוביץ
3000,501,559,116,114,2,2,120,20.75134168157424,Jerusalem,בית הספר נועם המאירי,קפלן
